date,cancel_public_events,school_closing,restrictions_on_gathering,close_public_transport,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt/contract_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,protection_of_elderly_people,total_cases,new_cases,total_deaths,new_deaths,workplace_closing,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2022-01-19,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,38218773.0,317532.0,487693.0,491.0,3.0,1592451490.0,919059606.0,667552043.0,5839841.0
2022-01-20,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,38566027.0,347254.0,488396.0,703.0,3.0,1600333779.0,922087216.0,671853985.0,6392578.0
2022-01-21,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,38903731.0,337704.0,488884.0,488.0,3.0,1609613007.0,925500152.0,677041072.0,7071783.0
2022-01-22,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,39237264.0,333533.0,489409.0,525.0,3.0,1617088106.0,928133309.0,681368115.0,7586682.0
2022-01-23,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,39543328.0,306064.0,489848.0,439.0,3.0,1622210924.0,929971622.0,684436700.0,7802602.0
2022-01-24,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,39799202.0,255874.0,490462.0,614.0,3.0,1623419845.0,930359898.0,685102189.0,7957758.0
2022-01-25,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,40085116.0,285914.0,491127.0,665.0,3.0,1630312330.0,932606511.0,689133722.0,8572097.0
2022-01-26,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,40371500.0,286384.0,491700.0,573.0,3.0,1636183520.0,934468791.0,692645423.0,9069306.0
2022-01-27,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,40622709.0,251209.0,492327.0,627.0,3.0,1639112704.0,935294849.0,694410120.0,9407735.0
2022-01-28,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,40858241.0,235532.0,493198.0,871.0,3.0,1645293992.0,937107027.0,698115220.0,10071745.0
